split,query_index,ids
tuning,0,
tuning,1,
tuning,2,
tuning,3,
tuning,4,
tuning,5,
tuning,6,
tuning,7,
tuning,8,
tuning,9,
tuning,10,
tuning,11,
tuning,12,
tuning,13,
tuning,14,
tuning,15,
tuning,16,
tuning,17,
tuning,18,
tuning,19,
tuning,20,
tuning,21,
tuning,22,
tuning,23,
tuning,24,
tuning,25,
tuning,26,
tuning,27,
tuning,28,
tuning,29,
tuning,30,
tuning,31,
evaluation,0,
evaluation,1,
evaluation,2,
evaluation,3,
evaluation,4,
evaluation,5,
evaluation,6,
evaluation,7,
evaluation,8,
evaluation,9,
evaluation,10,
evaluation,11,
evaluation,12,
evaluation,13,
evaluation,14,
evaluation,15,
evaluation,16,
evaluation,17,
evaluation,18,
evaluation,19,
evaluation,20,
evaluation,21,
evaluation,22,
evaluation,23,
evaluation,24,
evaluation,25,
evaluation,26,
evaluation,27,
evaluation,28,
evaluation,29,
evaluation,30,
evaluation,31,
