split,query_index,ids
tuning,0,97120;6646;30758;21362;94110;87064;35728;45454;6644;31080
tuning,1,20828;43012;55916;24547;46916;4590;19522;36172;79596;63958
tuning,2,33556;69818;16278;76024;13890;82350;2026;94997;18602;97124
tuning,3,21046;61062;92794;81634;28948;60878;81382;27876;80840;12710
tuning,4,53030;53040;24850;15850;46864;43594;17238;23100;20830;20186
tuning,5,94997;18602;20936;19576;18780;19850;18726;18932;31366;19254
tuning,6,95278;53706;99709;1330;55176;2994;3462;496;13514;10528
tuning,7,56370;56426;94560;63450;96056;2774;54258;62944;19658;57048
tuning,8,35258;53284;35155;27616;13975;96922;12856;9895;1670;77080
tuning,9,69662;49174;54109;65310;59060;15480;724;56024;29126;55388
tuning,10,99749;99020;99564;91580;31035;74396;63343;43354;62434;30194
tuning,11,62764;70848;24043;34536;57520;27682;34690;26368;10310;51568
tuning,12,64742;15874;15783;91688;20488;15487;48244;74895;17802;60388
tuning,13,99821;37220;41092;684;80784;99681;58446;58578;40228;13890
tuning,14,65244;55686;64834;11164;64788;3042;82992;61408;26692;21602
tuning,15,23749;9254;14262;84806;56008;16780;64522;77496;11444;10576
tuning,16,99709;54194;26372;96912;3462;22160;24102;23196;8943;80668
tuning,17,2047;12016;98245;910;17382;23030;35456;94242;59164;95932
tuning,18,51324;51498;22718;18346;45764;47490;81778;96146;74836;63958
tuning,19,78552;97124;20376;52764;79328;72996;33556;13922;42194;42075
tuning,20,87201;86525;26528;88972;76563;90112;96484;77028;59280;16215
tuning,21,21320;36288;74836;47490;26744;40286;22718;28376;75858;69818
tuning,22,14122;99821;37220;13890;88676;35124;26032;14160;98700;14992
tuning,23,88972;76563;87201;96484;26528;35494;17056;77028;56400;90112
tuning,24,90350;94662;94732;97758;28572;98636;56276;98731;34766;37596
tuning,25,9312;14847;9582;77306;51154;81854;89286;14966;27340;77496
tuning,26,97120;6646;6644;35728;45454;31080;55962;18900;80290;21362
tuning,27,1080;2344;8378;574;85376;97120;6234;62213;522;35114
tuning,28,97120;6646;6644;35728;45454;31080;55962;7682;21362;18900
tuning,29,18794;89938;39232;26556;52256;64021;40034;542;91862;40971
tuning,30,71470;84858;72527;51470;15709;78760;4154;26970;71330;95885
tuning,31,61556;68898;50114;76623;51702;16648;39694;82659;24010;5348
tuning,32,91992;96718;19050;92700;23554;19133;23671;23824;26182;23570
tuning,33,10111;25442;50480;49848;12951;21656;50008;89808;51222;26970
tuning,34,85088;57089;996;85552;48834;16100;63222;84300;82682;44702
tuning,35,78174;96238;5992;70237;10760;97440;25934;56490;66774;11758
tuning,36,1011;40868;57471;57712;13610;76818;85658;32798;11220;33882
tuning,37,24114;41060;90814;23061;10316;16210;14902;59168;4934;59770
tuning,38,95414;94002;89125;32302;40628;22416;10663;96372;25168;78268
tuning,39,2068;91243;98102;99516;78930;92050;99476;65880;93036;97959
tuning,40,99434;340;376;21016;53421;50716;63880;91050;88625;7998
tuning,41,99498;47582;98080;97248;104;68945;86510;28034;76996;29068
tuning,42,85584;95825;43874;56618;49980;33638;17326;22546;45174;86016
tuning,43,78752;81074;69164;67560;76453;78930;87093;14064;79492;98424
tuning,44,20952;22476;28912;41351;17926;15200;2618;59580;36210;85676
tuning,45,26970;3154;61030;78760;63342;5730;550;75369;25764;86259
tuning,46,26919;20130;80658;97806;28188;23702;57876;2474;28763;66634
tuning,47,14726;1756;13190;57757;47424;95030;74334;95476;29514;15386
tuning,48,85328;75062;79358;79646;70131;68149;68170;38920;99324;63343
tuning,49,62396;32080;56930;35478;32598;33904;67610;70214;41570;43528
tuning,50,10276;51604;39102;39406;33270;80286;20756;26276;57546;57410
tuning,51,94748;93418;86754;94570;94434;31584;75354;86394;89557;4539
tuning,52,62400;55576;78164;83094;18699;99539;83168;22494;90476;17368
tuning,53,99916;24362;28812;23872;37108;9762;54086;24772;6152;2078
tuning,54,88461;93798;80540;86180;89151;98012;8550;83820;90350;98636
tuning,55,51324;22718;18346;45764;87902;96146;580;1322;51498;81778
