configuration,gpu,data_center,cloud,campaign_mode,workload,engine,source_bundle_sha256,git_revision,rows,dimensions,batch,k,eligible_fraction,timing_scope,filter_scope,p50_completed_ns,p95_completed_ns,p99_completed_ns,p95_min_ns,p95_max_ns,throughput_qps,recall_at_k,collection_build_ns,binary_build_ns,peak_process_rss_bytes,qenlo_allocation_bytes,upload_bytes_per_call,readback_bytes_per_call,device_resident_ns,device_scoring_ns,device_selection_ns,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,eligibility_materialization_ns,eligibility_transfer_bytes,mutation_p50_ns,mutation_p95_ns,actual_backend,rebuilt_fraction,deletion_correct,sample_count,qualified,status,failure_detail
rtx2000-eu-ro-secure-pilot,NVIDIA RTX 2000 Ada Generation,EU-RO-1,SECURE,pilot,p1-r1000-d128-b1-f1,baseline-cpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,51832.0,60152.0,67382.0,56952.0,64022.0,14562.469467166067,1.0,3974026,159623687382,5939200,,0.0,0.0,,,,,,50212.0,,0.0,,,Cpu,,,192,True,completed,
rtx2000-eu-ro-secure-pilot,NVIDIA RTX 2000 Ada Generation,EU-RO-1,SECURE,pilot,p1-r1000-d128-b1-f1,baseline-gpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,142865.0,151475.0,165075.0,151364.0,152334.0,6281.770175352669,1.0,232321028,159623687382,250503168,1587200.0,4576.0,160.0,,,,8760.0,78763.0,136974.0,2840.0,4000.0,,,Wgpu,,,192,True,completed,
rtx2000-eu-ro-secure-pilot,NVIDIA RTX 2000 Ada Generation,EU-RO-1,SECURE,pilot,p1-r1000-d128-b1-f1,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,162215.0,194986.0,207147.0,167856.0,205486.0,5546.42033165167,1.0,220117214,163934718074,255676416,2112128.0,4576.0,192.0,,7648.0,23328.0,8310.0,100193.0,159805.0,0.0,4000.0,,,Wgpu,,,192,True,completed,
a40-ca-mtl-secure,NVIDIA A40,CA-MTL-1,SECURE,common,c1-r1000-d128-b1-f1,baseline-cpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,30478.0,32647.0,34883.0,31547.0,33350.0,23272.68495875462,1.0,2464421,165482303535,5582848,,0.0,0.0,,,,,,28896.0,,0.0,,,Cpu,,,192,True,completed,
a40-ca-mtl-secure,NVIDIA A40,CA-MTL-1,SECURE,common,c1-r1000-d128-b1-f1,baseline-gpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,131573.0,140554.0,148734.0,137925.0,142614.0,6754.823445274478,1.0,149195283,165482303535,251523072,1587200.0,4576.0,160.0,,,,7060.0,80465.0,125529.0,3215.0,4000.0,,,Wgpu,,,192,True,completed,
a40-ca-mtl-secure,NVIDIA A40,CA-MTL-1,SECURE,common,c1-r1000-d128-b1-f1,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,151418.0,159459.0,166897.0,156420.0,159502.0,5905.62315904886,1.0,239652051,167490689988,255459328,2112128.0,4576.0,192.0,,7296.0,28960.0,6917.0,100329.0,149211.0,0.0,4000.0,,,Wgpu,,,192,True,completed,
a40-ca-mtl-secure,NVIDIA A40,CA-MTL-1,SECURE,common,c2-r1000-d384-b16-f001,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,1000,384,16,10,0.01,batch-call-completion,corpus,218288.0,239818.0,239818.0,223075.0,333035.0,25552.217353548862,1.0,155981583,167490689988,227512320,11079296.0,394880.0,41472.0,,8480.0,25824.0,8797.0,97656.0,181089.0,0.0,40.0,,,Wgpu,,,12,True,completed,
a40-ca-mtl-secure,NVIDIA A40,CA-MTL-1,SECURE,common,c3-r10000-d128-b16-f1,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,10000,128,16,10,1.0,batch-call-completion,corpus,414442.0,427716.0,427716.0,422667.0,560817.0,27198.3606188137,1.0,168568297,167490689988,238989312,14846528.0,772096.0,41472.0,,97664.0,124928.0,10268.0,287912.0,389839.0,0.0,40000.0,,,Wgpu,,,12,True,completed,
a40-ca-mtl-secure,NVIDIA A40,CA-MTL-1,SECURE,common,c4-r10000-d384-b1-f001,baseline-cpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,10000,384,1,10,0.01,batch-call-completion,corpus,16979.0,18987.0,20209.0,18764.0,19311.0,23224.740735687206,1.0,48131586,165482303535,62779392,,0.0,0.0,,,,,,14598.0,,0.0,,,Cpu,,,192,True,completed,
a40-ca-mtl-secure,NVIDIA A40,CA-MTL-1,SECURE,common,c4-r10000-d384-b1-f001,baseline-gpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,10000,384,1,10,0.01,batch-call-completion,corpus,123125.0,129394.0,138355.0,129147.0,138265.0,6509.2830512915225,1.0,194637179,165482303535,270753792,16652224.0,2000.0,160.0,,,,6811.0,73419.0,116079.0,3141.0,400.0,,,Wgpu,,,192,True,completed,
a40-ca-mtl-secure,NVIDIA A40,CA-MTL-1,SECURE,common,c4-r10000-d384-b1-f001,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,10000,384,1,10,0.01,batch-call-completion,corpus,144683.0,151370.0,160437.0,150543.0,153678.0,5669.151172167869,1.0,200138232,167490689988,271990784,17178176.0,2000.0,192.0,,8448.0,25536.0,6840.0,95674.0,140142.0,0.0,400.0,,,Wgpu,,,192,True,completed,
a40-ca-mtl-secure,NVIDIA A40,CA-MTL-1,SECURE,common,c5-r100000-d128-b1-f001,baseline-cpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,100000,128,1,10,0.01,batch-call-completion,corpus,65037.0,90237.0,97907.0,70043.0,94803.0,12536.93498580584,1.0,200596131,165482303535,190656512,,0.0,0.0,,,,,,63571.0,,0.0,,,Cpu,,,192,True,completed,
