split,query_index,ids
tuning,0,17683
tuning,1,97210
tuning,2,29929
tuning,3,42059
tuning,4,93340
tuning,5,38037
tuning,6,95641
tuning,7,99026
tuning,8,64860
tuning,9,13310
tuning,10,98152
tuning,11,60376
tuning,12,14918
tuning,13,38710
tuning,14,67053
tuning,15,94493
evaluation,0,42893
evaluation,1,9736
evaluation,2,95437
evaluation,3,32
evaluation,4,40704
evaluation,5,23665
evaluation,6,10087
evaluation,7,63898
evaluation,8,81304
evaluation,9,92514
evaluation,10,80649
evaluation,11,28208
evaluation,12,58712
evaluation,13,90954
evaluation,14,67496
evaluation,15,19491
evaluation,16,66898
evaluation,17,66049
evaluation,18,66327
evaluation,19,74983
evaluation,20,47360
evaluation,21,79044
evaluation,22,77955
evaluation,23,70999
evaluation,24,36820
evaluation,25,33418
evaluation,26,45609
evaluation,27,27913
evaluation,28,37069
evaluation,29,40464
evaluation,30,91350
evaluation,31,83759
evaluation,32,64463
evaluation,33,97037
evaluation,34,10684
evaluation,35,75227
evaluation,36,98422
evaluation,37,91606
evaluation,38,34217
evaluation,39,54671
evaluation,40,7028
evaluation,41,33726
evaluation,42,97848
evaluation,43,56905
evaluation,44,52131
evaluation,45,75918
evaluation,46,94548
evaluation,47,91770
evaluation,48,47614
evaluation,49,11608
evaluation,50,41215
evaluation,51,79184
evaluation,52,73634
evaluation,53,32021
evaluation,54,57651
evaluation,55,51029
evaluation,56,53066
evaluation,57,26746
evaluation,58,72321
evaluation,59,52088
evaluation,60,65574
evaluation,61,40086
evaluation,62,76412
evaluation,63,75846
